p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Lhfpl2	0	4.57492726338407	0.579	0.071	0	Microglia	Lhfpl2
Rrbp1	0	3.40557337869303	0.81	0.304	0	Microglia	Rrbp1
Tnfaip3	0	3.76683846433513	0.574	0.068	0	Microglia	Tnfaip3
Plcg2	0	4.92896391918837	0.532	0.026	0	Microglia	Plcg2
Lrrk1	0	4.65285497218609	0.532	0.03	0	Microglia	Lrrk1
Dock10	0	1.39494998842286	0.871	0.372	0	Microglia	Dock10
Cd180	0	5.39795115150723	0.514	0.02	0	Microglia	Cd180
Ctsh	0	5.04435009455799	0.514	0.021	0	Microglia	Ctsh
Icam1	0	6.26413408140988	0.504	0.014	0	Microglia	Icam1
Ctsc	0	3.86106301165699	0.525	0.036	0	Microglia	Ctsc
Ptgs1	0	5.1097514978586	0.544	0.057	0	Microglia	Ptgs1
Nek7	0	2.8366376000028	0.728	0.243	0	Microglia	Nek7
Maf	0	2.84466715969932	0.729	0.244	0	Microglia	Maf
Rbm47	0	5.25387277747791	0.5	0.016	0	Microglia	Rbm47
Ctsl	0	4.26108568250481	0.718	0.234	0	Microglia	Ctsl
Capn3	0	6.16969844925601	0.504	0.021	0	Microglia	Capn3
Cyba	0	4.28625056891468	0.521	0.039	0	Microglia	Cyba
Havcr2	0	6.02243948252382	0.49	0.01	0	Microglia	Havcr2
Col27a1	0	5.46217017734433	0.509	0.032	0	Microglia	Col27a1
Pld1	0	3.83522580633611	0.559	0.088	0	Microglia	Pld1
Lars2	0	2.17068241556962	0.774	0.303	0	Microglia	Lars2
F11r	0	5.82009549210977	0.488	0.017	0	Microglia	F11r
Itga6	0	3.1191742703176	0.627	0.156	0	Microglia	Itga6
Rnf19b	0	4.82145946006631	0.699	0.228	0	Microglia	Rnf19b
Rps12	0	2.86610077662648	0.637	0.167	0	Microglia	Rps12
Ncf1	0	5.64372333552006	0.484	0.016	0	Microglia	Ncf1
Cd83	0	4.79037131295182	0.579	0.113	0	Microglia	Cd83
Cflar	0	3.85537870413282	0.582	0.117	0	Microglia	Cflar
B4galt1	0	3.92009577990692	0.541	0.077	0	Microglia	B4galt1
Ophn1	0	3.8923713446911	0.833	0.369	0	Microglia	Ophn1
