Cell IDs	CellType
115018433378914725172416438497394718996	L5_ET
115097853774735235894323792699398055202	Astro
115127732488658085396809397357161752818	L6_CT
115207245798983393520041199638992234484	Endo
115219035780843464570754438909888868504	Oligo
115296301694613756181146083986639914226	L2_3_IT
115330680229046752475120828935465632597	L2_3_IT
115385639294674185042203622230526858212	L6_CT
115405697012975582255642143277709310510	L5_ET
115468292279693937639580468097605500356	L5_IT
115593486210689719145044257805350476558	OPC
115649657957276728000663534863414810348	L5_IT
115655759707006349344358132234039926882	L2_3_IT
115677051175008268560888143637885450209	L5_6_NP
115771809665452235846243557264627690454	VLMC
115858128044703910013460208017632998901	L2_3_IT
115887505881922530441351324828087663437	L4_5_IT
115999603884816744753430464928476512481	L4_5_IT
116097160640140001460589637490414212513	L2_3_IT
116231061991054400070104339313016838184	L2_3_IT
116241530072418429140702092354641985918	L2_3_IT
116249030683438358714530541768119007434	L6_CT
116310571979909186949134411620929773896	OPC
116334507909039426767917408098528132234	L4_5_IT
116349266390926889663599346750366752580	Micro
116353805407910584387571737551737340600	L5_IT
116360534608654145303047179988853011553	L5_IT
11646532548157018745018409254212479212	L2_3_IT
116622350390306179550519736684897878422	Astro
116648470408229875146147385150205277919	L4_5_IT
116704774954951803988641760551615708613	VLMC
116708724866964250800245851028038123893	L5_6_NP
116785726937556100281186516461051364828	L2_3_IT
116822605181254088930411411515437326892	Sst
116823938027545776124856387752048614390	L2_3_IT
116910091970084445911932685772648641572	Endo
116925923815003535916009655122113258982	Oligo
116983241286801700543547386877475573556	Endo
117026565575077035014681077908146314659	Micro
117052171560025895233546683318472174965	Pvalb
117054015489946180158936379965129450223	Peri
117093272091426213853223801925808708627	L2_3_IT
117106867123286632571207946335580814685	VLMC
117358162303137920359039114283065072056	L5_IT
117368163771522761170733739457521215401	OPC
117378899224829162214207471941576758487	L6_CT
117384039374011138447540396246307559859	L2_3_IT
11747991067495360375588641761193901790	VLMC
11753332869989170644041445786886323639	L5_IT
117607232881972138490164727389308453710	L5_IT
117728794824014836263669457382888967555	L6_IT
117739163785431269766644133221035549892	L2_3_IT
117874731443505239298987395966214480684	L4_5_IT
1179026474262019881140433996186168963	Pvalb
117908222721967988542859836999577234968	Micro
118003785217998921016596528015473403147	L6_IT
118069671748779428174908855903792626998	L2_3_IT
118150545225261831207720952643191279224	Astro
118172850475291908371050810603671227943	VLMC
11828046386226249017844445835274367339	PVM
118666354592397654012968462968321076445	L2_3_IT
118706987756990618876474764884671471212	Endo
118745106734353639898852478923721352651	L5_IT
118775130711228923975303592044796075434	PVM
118796082919695869924307029956345529362	Endo
118862187207103176499888358426014253257	L5_ET
119006573990147352612998306505593368836	Peri
119080383610612892008204002763244643534	L6_IT
119091361988120994390285975375655193520	L5_IT
11912971989406466443825455052738830019	L6_CT
119148581944526785023106517533595723307	L4_5_IT
119192589181742676847292861424552790395	L6_IT
119687811692899776940888075660334247761	L2_3_IT
119788270894644785814703205255518907518	L2_3_IT
119789506044598118478763760927525501007	Astro
11984542956175450668188761484725117489	L4_5_IT
119898752466573680982676473443950877160	Vip
11997766147673201569622196874453619551	Endo
12010664396951653709724612044939959635	VLMC
120178463177844948136779235689631793769	Oligo
120200893727308348722274953865537821375	L5_ET
120341624126938560367774085111840120572	Pvalb
120507897711650051556662533855043416132	Sst
120544063360178350184140203699478390862	L4_5_IT
120688341171884572556526597109195212613	L6_CT
120688366385858004572784664838891602481	L6_CT
120908500276873697147862088000589729798	L2_3_IT
120923977259076516344672987644105875215	L2_3_IT
121050831073917632442624601571390763986	L6_CT
121279803670885800119808650903544653296	L5_ET
121330168576756147439980174773451197974	Micro
121343170040678040297090279110370185827	Sst
