Oligo	VLMC	Astro	L4_5_IT	L5_IT	L2_3_IT	Endo	L6_IT	Sst	L5_ET	L6_CT	Peri	PVM	Micro	SMC	L5_6_NP	Vip	OPC	Pvalb	Lamp5	L6_IT_Car3	L6b	Sncg
53	0	0	0	0	0	0	0	0.019122780094832	0	0.0311594373264227	0.949266587794422	0	0	0	0	0.000451194784322874	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0.00408990772534109	0	0	0	0	0	0	0	0	0	0.995910092274659	0	0	0	0
55	0	0	0	0	0.078940070021381	0.129979863930737	0.582882004892115	0.187669575148297	0	0	0	0	0	0.0205284860074696	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0.376155304277817	0	0	0	0	0.623844695722183	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0.00738714103559292	0.036528163115204	0	0.0265055602884479	0.0393715171223803	0.600175175279517	0.0593669401764621	0	0	0	0	0	0	0	0	0.230665502982396	0	0	0
58	0	0	0	0	0.1208700757415	0.0159148373655617	0	0.0372034915592133	0.0236930085738384	0.611822151579875	0	0	0	0	0	0	0	0	0	0.190496435180012	0	0	0
59	0	0	0.128312019534029	0.211299593805304	0.3798587487553	0	0	0.280529637905367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0.883184617221858	0	0	0	0	0	0	0	0	0	0.0661276668649731	0	0	0.0506877159131684	0	0	0
61	0	0	0	0	0	0.359220582169084	0.000546775366636703	0.0103285982566239	0.0178205196299585	0	0	0	0	0	0	0.512460331939058	0	0	0	0	0	0.0050767803276095	0.0945464123110294
62	0	0	0	0.190724343711213	0.00988280791419007	0	0	0	0.0272671520783598	0.13697598613549	0.0138803739296685	0	0	0	0	0	0	0	0	0.621269336231078	0	0	0
63	0	0.0338211596227116	0.306150138888922	0	0	0	0	0	0	0.0253632747155517	0	0	0	0.0530736827837768	0.484400254032032	0.0971914899570059	0	0	0	0	0	0	0
64	0	0	0	0.093902761702339	0.497790927441993	0.176916700870882	0	0.199862907974602	0	0	0.031526702010185	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0.043912170433587	0.34699122972584	0.000989507527513121	0	0	0	0	0	0	0	0	0.60810709231306	0	0	0	0	0	0	0
66	0	0	0	0.0732307380926973	0.0191209449872526	0.0155810330890979	0	0	0	0.892067283830952	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0.787952563284383	0.0203338662248235	0.191713570490793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0.257336757863082	0.701828993084411	0	0	0	0	0	0.0408342490525065	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0.009403546079883	0.106503794295374	0	0	0.203093218676878	0	0.0725238611558082	0.608475579792057	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0.259495969052258	0.52163372053509	0.055161198570636	0	0.163709111842016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0.00381289368241475	0	0	0.0075455723679802	0.0697322305181925	0	0	0.0184221173936436	0.00976606754639711	0.0786595343841337	0.0362790766878234	0	0	0	0	0.775782507419414	0	0	0	0	0	0	0
72	0	0	0	0	0.00711570895229253	0.0055630136383123	0	0.0194858870547731	0.0266659248401134	0.58484078355448	0.216426942198727	0	0	0	0	0	0	0	0	0.139901739761302	0	0	0
73	0	0	0	0.110277448593914	0.515068280965006	0.0464819574998288	0	0.283516940414106	0	0.044655372527145	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0.157289478319779	0	0	0.166434253778323	0	0.0743095932822653	0.457065708166574	0	0	0	0	0.000941326424455126	0	0	0	0	0.143959640028603	0	0
75	0.931613246640223	0	0	0	0	0	0	0.0538627966711474	0	0	0	0	0	0	0	0.0145239566886292	0	0	0	0	0	0	0
76	0	0	0	0.408155074900952	0.0808518712706524	0	0	0.424244654181842	0.0285857308801647	0	0.0581626687663886	0	0	0	0	0	0	0	0	0	0	0	0
77	0.0051642319252113	0	0	0	0.0454008229951358	0	0	0.0643960970003884	0	0	0.0104979365300686	0	0	0	0	0.265967613986858	0	0	0	0	0.608573297562338	0	0
78	0	0	0	0	0.294178078506162	0.0187854499078605	0	0.197495762032185	0	0.330702067161554	0.158838642392238	0	0	0	0	0	0	0	0	0	0	0	0
79	0.103215448444747	0	0.316597899584777	0.0457780658006007	0.105743237475665	0	0	0.142732641059853	0	0.0128336937616937	0	0	0	0	0	0	0	0	0	0.273099013872663	0	0	0
80	0	0	0	0.197583000078636	0.313754935262819	0.35093563850552	0.00899676345161983	0.128729662701406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0.0111592421860416	0	0.988840757813959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	0	0	0	0.787177313233375	0	0.212822686766626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
