LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30
X100770516509828923630978876061485719503,3.52640525066375,-1.99698125470261,-3.6613443737587,0.0737460816488527,-0.275367886003242,-0.646692942514572,-1.26186686752734,0.0283226649100479,-0.448289544870659,-1.00732781443419,-0.449359889873347,-0.486357616585943,1.08673507803615,0.13492540438867,0.44565291398514,-0.623876681557201,0.50798149277178,-0.698087258865442,0.688119578681943,0.616528273251193,0.500773115542758,-0.229866026885908,-2.99919274248305,0.296655672113744,0.63706361539925,-0.701626637532537,0.313651956837236,0.47118709263747,0.277998800246064
X100842549546626171241991454564639654183,-0.961349915148635,0.504513916513717,3.89318518085651,-2.51231299281584,1.86605734027992,-0.600095489146073,-1.78877027160728,-0.182608062334297,-0.875373394466204,1.28202312588067,-1.38877991903166,-1.95670542058495,-2.82952890600354,0.436232366494676,1.24852557294233,-1.46188267671395,2.37502109332018,3.38413390578476,-0.699665118740038,-1.50748653569253,0.983981091329414,-3.46015699300133,-0.427840408933565,0.883718336643072,-1.33862389447435,-1.49929465098179,-1.31298110703626,-0.886599660180054,-2.45073830974582
X100950987248696023627512659113223722976,3.80995611229416,-2.03387594682745,-2.34995216151462,0.809930553124108,-1.08611768682896,0.59277558927534,0.049136433744866,-0.236130174846909,-1.15543821261451,-0.456478073835373,-0.207720371113039,0.584144435149122,0.535352164331453,0.390149235445534,0.374099518138154,0.274459373259464,0.288278500049056,-0.254712376261944,-0.878825280363106,-1.14960649870064,1.39329178137531,-0.592840211812862,-0.0723985260231791,0.0483721854022238,-0.433726264310025,-0.463008317258432,0.394791482244199,-0.804437819197679,-0.255338161621846
X100955601535943672754469769793722395470,3.01932876318849,1.30219154852105,2.03479377508708,1.10300892830873,-5.63201792103253,1.66823873424111,-0.395784412085859,0.96228127787489,-2.33931565269985,-0.179471518484955,-0.268112018395485,-0.00351880305338809,0.015544651630543,-0.826843407281769,-0.615247345332922,-0.25672339841487,1.86632700813537,-1.32266290615941,-0.4159459631185,-1.05272043222394,2.23347498246382,0.656412480936365,-2.02061820629289,1.26935980519148,-0.921643314256154,0.530975049209471,0.0794785886901676,-0.540199551525637,0.791757453360384
X101040309230617229467963033777200410268,0.911560814993463,1.02872609149207,-1.05039331548366,-0.942504954245606,3.57561025165623,0.345577558463721,-2.19451884000253,-3.10216266738622,-1.39641940277857,1.39002339974718,-0.283363585949675,0.267483757086051,1.03204413938498,-1.01685922138742,1.11706416297527,1.97742482259104,0.0245196758426087,0.581100288868642,-0.0594419353359577,-1.15139182714495,-2.74753311002971,-0.685607313097632,-0.195532586356924,-1.58051452580615,0.912254623340395,0.01572558615726,-0.0186554883045306,-0.389405180843761,1.06287937060896
X101290319453327493294362411320830756503,0.490239314065387,1.00072370028347,0.234171586851763,6.61563935586981,3.97307119413891,-1.15504720310968,-4.70012479008212,3.72522676701021,1.10753370630881,0.924326137629321,-2.1636750637217,0.764412007919872,-1.48474714752181,-0.614490894605718,0.563448462264695,-0.159674751759143,-0.491411041427964,-1.54146710991982,1.18068321920176,-0.392064314144848,-0.618129679102711,-0.888684681597333,1.33942692607653,0.373221886886141,0.148741968667768,2.11628229389475,-1.75188573260482,-1.45966670589548,1.58305639686738
X10133650427379796965274679508791717579,-2.05743560461142,1.44073984734088,-2.19888981613956,-1.36148194078392,-2.27974006624169,-2.60310246100242,-4.29315429299809,0.276397922758467,1.86694155694696,-0.478833832791608,4.36807711035331,0.104785995591335,1.56975602890629,0.452760157360615,-1.15801621743972,1.49909678375248,-0.610316141675821,-0.282541920424534,-1.5514199293543,-0.195180825768998,-1.19715643802645,0.421543044913524,3.40284838953122,1.15929417381221,0.232904919580448,-1.65563866787069,-1.28310300511705,0.033519861470064,0.119076533470909
X1014011257225273380454238515543761957,0.278960216153976,0.136135485820315,4.56467881428937,-1.0175836829452,1.40522861502351,-2.90686902276004,1.15593484274513,1.91038564268771,-1.63027063513344,0.742385842154121,-1.89766843430518,-0.682105025161334,-0.121257501485372,-0.435582896077827,-0.306659507896128,0.331870204442904,-1.87025604773374,0.235940282517947,2.6365066216693,1.57170399158281,0.763562990432205,-1.27928495326425,0.804931465037205,1.40042654086543,1.14884941890223,-0.975951518076109,0.741404360722537,0.502628019647032,0.185670910347539
X101514388755449993173560206320331861974,-4.69809999538096,-10.1726787424217,-0.384442917350076,-0.817226464346933,0.452875439231733,-4.7165147626244,1.30449199118805,-2.24775417198287,1.61291375299892,-4.3676809377141,-0.398003525078428,-1.97268282104642,0.0487443919024248,-1.1147061910907,0.732451746638469,0.670219341786763,-1.52665593175724,-0.532707940611548,1.23833291632514,-2.83765225876713,4.35625810987919,2.08394567140538,1.59165248124074,-3.55858345804588,2.78295651184653,-2.54199174071699,0.95666349923546,-0.85780308129435,-0.558285224503057
X101731390169942732810880467783376149464,-4.27695409785219,0.564074784432558,-1.09947339384952,1.96355248362395,3.11213186701015,0.747848031894811,5.3316108923658,-0.912716531103538,-3.18917919966079,1.67111130130455,2.70610763212296,-0.78004278020654,-1.49931891088771,0.135453505119063,0.207473033305604,-0.487070893458366,0.215265315615045,0.635123160553052,-0.0445162463248783,0.308554894890105,0.224944026134211,0.528419621317213,0.997156824687107,-0.313875619073731,0.966544213407274,0.315070202991496,0.219406788021374,0.140534406924533,1.12479872659294
X101832018081624702142421097643353058000,-3.93199923741921,3.88255283610697,-1.59301587254103,-1.16686645880685,-1.70332571058403,0.0608942333280292,-0.568742939353003,0.334575068184384,0.364708318068649,-0.415163512690437,-0.692121087907374,-0.170622179043017,1.79787109172138,-0.84480709517367,-1.23508858366601,0.70125299809537,0.39169471733649,0.233887575427642,0.35008317057606,0.861783441505171,0.944669392556162,-1.32642765158731,-0.41892382603269,-0.7124281666026,-0.482461561856728,1.59667557657187,-0.296257324845287,0.829496478334654,0.314750212111335
X101850681050949321874175106772440276305,-1.97825188729272,2.72322616240551,1.27926269080051,-2.72944063387618,-0.262603421490558,-2.26333934291111,-2.71020905868544,-0.665949609450071,-2.21773020152631,-0.147081452276872,3.49611191947412,-0.639429864167202,0.762472694825309,-0.413015108823714,0.904331432062791,-1.32247355446445,1.57257968974806,-2.27767972242612,-0.0778127889146048,-1.63605244166814,0.395076938236601,-0.704509475110313,-2.38237211397554,-0.0461810017373299,1.50954685613677,-0.0539900918060707,-0.604984192173344,0.820316661043874,0.214181785707467
X101923412293028741557740364778568352912,-0.405122704948324,1.87954582177677,2.97491413214412,-1.36387785670437,-0.0446770465133005,-1.09142712202288,0.634495724230527,1.19522161486119,-0.0393300885810515,-0.188485877359898,0.989343847802611,1.00973021186305,0.137887682558391,-0.546527343696268,-0.358099240263712,-0.151335596783689,-0.534682962818092,0.27274429815523,0.670618238953212,1.06008619169579,0.756462357073329,-0.661113939062886,-0.0240120377406701,2.16598678992926,0.404859889192928,-0.217465703402662,-1.86265617453879,0.0647019199637451,0.224422220953534
X101947708619388374865955767260108748338,2.5024238377942,-2.10447338044133,-3.15575503513237,-0.0206288264617179,-1.121230074664,-2.40396293268526,0.555902531292586,1.40809502136424,-1.50527193244813,-0.00195647892446835,-1.66742036648076,0.353708136860465,-0.638797890304623,-1.45890335124182,-0.526988454179577,1.33688707605813,-0.873517245731352,-0.43232967682797,-1.31488517861695,-0.110375450880619,-0.0430181945983288,0.698683335704796,-0.396185628320963,0.597843660248312,-0.0430328900060089,0.212652974059175,-0.371543473132443,0.820822401808965,-0.00911145294904104
X10211118390275140178218693553065860949,1.56144703805555,2.01459802623193,-1.77264302828959,-2.25071008812271,3.96985282701268,-0.622870293166356,0.492590504334691,-0.165671241346425,0.679585350574926,1.16803384103046,0.110438832232982,0.717907875380167,0.953536489480867,-0.41364021282593,1.73075045381542,-1.02536758709336,-0.131583974970624,0.462701218644021,1.10359216237481,-0.89312853494138,-1.92730622665139,-0.828639128662778,0.887334428904784,0.102346686335625,1.29069802340195,0.212403885706672,-0.0577482961408678,-1.08581032979208,-1.95561926827215
