,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
3642,106,320006507451111303691289940459921788406,0.00023820867079561695,,L5_IT,4411.2253308285135,-3326.056878654924,4407.553863645815,-3326.7992618889803
3727,106,46856761343796126296200960024518081575,0.00023820867079561695,,L5_IT,4411.2253308285135,-3326.056878654924,4416.347560168755,-3305.442205037292
2891,106,88033232737921621944592743287489192313,0.00023820867079561695,,L6_IT,4411.2253308285135,-3326.056878654924,4383.347139108596,-3325.7798247478095
109,106,33953078841341692724328947948092749169,0.00023820867079561695,,L4_5_IT,4411.2253308285135,-3326.056878654924,4396.152042602515,-3364.2396940753997
229,106,28297407995708696957634693540514139774,0.00023820867079561695,,L2_3_IT,4411.2253308285135,-3326.056878654924,4452.726048616928,-3308.0234075251346
1113,107,53198251420468685673461895252529300582,0.00023820867079561695,,OPC,4501.724295639003,-3326.056878654924,4526.742975351466,-3360.965524489728
868,107,195956357458721458006178520316271772578,0.00023820867079561695,,Peri,4501.724295639003,-3326.056878654924,4525.379390493892,-3362.8291273965156
1405,107,157776863373208886948607501985392252681,0.00023820867079561695,,Sst,4501.724295639003,-3326.056878654924,4519.0233259253,-3308.4580281097615
83,107,207587095599700590747410972254990085129,0.00023820867079561695,,L6_IT,4501.724295639003,-3326.056878654924,4467.543494468835,-3296.4057658712863
389,107,50280593810005486681834027688063666078,0.00023820867079561695,,L6_IT,4501.724295639003,-3326.056878654924,4469.932291955528,-3301.625947407327
2161,108,30402638718851878992440171358819598728,0.00023820867079561695,,L5_ET,4592.223260449493,-3326.056878654924,4594.256975893565,-3361.5558374760994
26,108,167226945295349989253022656704202433867,0.00023820867079561695,,L4_5_IT,4592.223260449493,-3326.056878654924,4567.7157173466085,-3291.416051175287
997,108,63918060447118924449826127209498767994,0.00023820867079561695,,L4_5_IT,4592.223260449493,-3326.056878654924,4583.385061386304,-3297.299120515744
1528,108,134549613688011130340336375864965464628,0.00023820867079561695,,Lamp5,4592.223260449493,-3326.056878654924,4603.226502430806,-3369.9481571034175
1871,108,194162801828169364471134383154880400145,0.00023820867079561695,,L5_IT,4592.223260449493,-3326.056878654924,4612.532045190172,-3310.0652270040728
1667,109,90972413628001039557221001523069065268,0.00023820867079561695,,L4_5_IT,4682.722225259982,-3326.056878654924,4701.565940433591,-3339.7567609013004
3018,109,67601860561699900803648840492934141638,0.00023820867079561695,,L4_5_IT,4682.722225259982,-3326.056878654924,4694.581320687791,-3314.0488445201495
541,109,198148579541746598743357569353370756878,0.00023820867079561695,,L6_CT,4682.722225259982,-3326.056878654924,4699.63414095961,-3298.7825063477
582,109,315123468372886949294513383353368942585,0.00023820867079561695,,L5_ET,4682.722225259982,-3326.056878654924,4677.5003704777055,-3335.816631211657
1164,109,188911274573611637935164471142571415485,0.00023820867079561695,,L2_3_IT,4682.722225259982,-3326.056878654924,4640.329353741221,-3341.8796502938103
486,11,76429852182908108751869651522278521266,0.00023820867079561695,,Astro,4411.2253308285135,-3869.0506675178617,4401.034425883722,-3872.320257111215
3365,11,56994687519134775655013711391194196586,0.00023820867079561695,,Astro,4411.2253308285135,-3869.0506675178617,4391.943493194992,-3871.489634054483
461,11,280503178067119983492246621615607033189,0.00023820867079561695,,Endo,4411.2253308285135,-3869.0506675178617,4403.879962868427,-3886.3598615123587
665,11,222286271824697744492177845371915210635,0.00023820867079561695,,Endo,4411.2253308285135,-3869.0506675178617,4417.233347454451,-3879.1728294489126
3583,11,186383465974421405692671844642841829774,0.00023820867079561695,,L2_3_IT,4411.2253308285135,-3869.0506675178617,4442.035424740971,-3835.9107554623342
3191,110,48927897805270154282775529324529899147,0.00023820867079561695,,L4_5_IT,4773.221190070472,-3326.056878654924,4736.806856772999,-3317.179574032235
550,110,30892011602199098328549435272220997437,0.00023820867079561695,,L5_ET,4773.221190070472,-3326.056878654924,4772.929029597938,-3316.2116580084244
858,110,115405697012975582255642143277709310510,0.00023820867079561695,,L5_ET,4773.221190070472,-3326.056878654924,4781.079837842545,-3325.920563271688
2339,110,313513520888080967354677858400872053964,0.00023820867079561695,,L5_IT,4773.221190070472,-3326.056878654924,4756.914866177597,-3341.9803148353876
255,110,69143009763279217993445375020222064374,0.00023820867079561695,,L5_6_NP,4773.221190070472,-3326.056878654924,4818.375359961287,-3328.992283126873
951,111,15541126250602431839340203182707519720,0.00023820867079561695,,Astro,4863.720154880962,-3326.056878654924,4822.221775925253,-3344.0957312235028
824,111,6235855280358888845448613902660555392,0.00023820867079561695,,L6_CT,4863.720154880962,-3326.056878654924,4875.779431323306,-3304.7196560336056
1973,111,214373110457255291585745313311637740499,0.00023820867079561695,,L6_CT,4863.720154880962,-3326.056878654924,4876.180445721688,-3308.0129047542564
511,111,60360692812905478934113205912882497239,0.00023820867079561695,,L6_IT,4863.720154880962,-3326.056878654924,4868.073555233603,-3369.1072652435596
3206,111,311182554525636902161060227405440960025,0.00023820867079561695,,L6_CT,4863.720154880962,-3326.056878654924,4876.345566200954,-3304.34883601969
249,112,241904322454415214963462888552073833779,0.00023820867079561695,,L6_CT,4954.219119691452,-3326.056878654924,4958.89822369194,-3281.049972032771
1374,112,306135623527361887007677401423819982935,0.00023820867079561695,,L6_IT_Car3,4954.219119691452,-3326.056878654924,4931.237840560575,-3349.653792746256
1536,112,5323685214300154986380418259871027495,0.00023820867079561695,,L5_IT,4954.219119691452,-3326.056878654924,4973.234731961074,-3321.2983709318373
2410,112,307379159966975957698001876075669748712,0.00023820867079561695,,L5_IT,4954.219119691452,-3326.056878654924,4956.80081224731,-3338.650600450292
2841,112,40864215757036182758767523690698407035,0.00023820867079561695,,L6_IT,4954.219119691452,-3326.056878654924,4950.923989996354,-3339.631657113461
108,113,335643138351435797935472376112297181384,0.00023820867079561695,,L5_IT,5044.718084501941,-3326.056878654924,5064.781393363247,-3335.0998820290806
252,113,177893981711806573681871134252202831822,0.00023820867079561695,,L5_IT,5044.718084501941,-3326.056878654924,5038.30525708476,-3329.230397613064
56,113,119192589181742676847292861424552790395,0.00023820867079561695,,L6_IT,5044.718084501941,-3326.056878654924,5019.900325785544,-3323.485424558418
595,113,43168863453575150092481356291077752690,0.00023820867079561695,,L5_IT,5044.718084501941,-3326.056878654924,5089.463334232358,-3332.793219242005
1464,113,233947640191834885986481604772351681180,0.00023820867079561695,,L6_IT,5044.718084501941,-3326.056878654924,5011.1401120437895,-3309.675469832052
721,114,98080453667286948441363111266814045680,0.00023820867079561695,,L5_ET,5135.21704931243,-3326.056878654924,5131.970328616315,-3322.383099328019
2321,114,97687889020088861806045271787899800178,0.00023820867079561695,,L5_ET,5135.21704931243,-3326.056878654924,5123.8270866546945,-3326.9537782179623
1844,114,91504319865829847560997510769699446617,0.00023820867079561695,,OPC,5135.21704931243,-3326.056878654924,5180.320658660235,-3329.6873168851143
